#Table: J/A+A/484/609/catalog.dat (cdsarc.u-strasbg.fr)
-----------------------------------------------------------------------------------------------------------------------------------
    |                     |        |        |      |    e|      |    e|      |   e_|       |    e|       |    e|   |       |
 Seq|     RAdeg      DEdeg|    Xpos|    Ypos|  Bmag|_Bmag|  Vmag|_Vmag| Icmag|Icmag|   pmRA|_pmRA|   pmDE|_pmDE|Pmb|    HRV|     e_
----|---------------------|--------|--------|------|-----|------|-----|------|-----|-------|-----|-------|-----|---|-------|-------
2195|132.720864  12.060856|6133.214|7091.741|15.294|0.010|14.598|0.006|13.861|0.002|  19.16| 0.83|  -6.13| 1.67|  0|999.999|999.999
2196|133.072914  12.062104| 927.138|7107.512|99.999|0.999|21.364|0.097|20.415|0.999|  -3.63| 8.69|  36.89| 1.90|  8|999.999|999.999
2197|132.923192  12.062303|3141.072|7110.573|20.029|0.022|18.436|0.027|16.551|0.006|  40.82| 1.37| -23.03| 6.13|  0|999.999|999.999
2198|133.064138  12.063154|1056.874|7123.329|22.421|0.327|21.275|0.264|20.282|0.999|  36.06|38.73|  13.39|35.88|  1|999.999|999.999
2199|132.881543  12.063443|3756.985|7128.152|17.800|0.011|17.147|0.015|16.366|0.009|   6.43| 2.56|   6.72| 3.21|  1|999.999|999.999
2200|132.596147  12.063461|7977.155|7134.678|21.771|0.285|20.493|0.165|18.856|0.001|  14.04|10.59| -15.11|11.30|  2|999.999|999.999
2201|132.808015  12.064267|4844.343|7141.569|17.941|0.018|17.195|0.006|16.353|0.002|  10.06| 1.43|   1.37| 1.07|  0|999.999|999.999
2202|132.870601  12.064541|3918.784|7144.866|99.999|0.999|21.398|0.340|20.394|0.999| -19.69|17.25|  35.94|18.50|  7|999.999|999.999
2203|133.104494  12.064596| 460.220|7145.402|21.452|0.226|20.782|0.150|20.001|0.219|  10.23|27.19|  -6.01|16.90| 22|999.999|999.999
2204|132.621909  12.064387|7596.270|7147.828|22.108|0.999|20.933|0.103|18.978|0.999|   8.69|11.07|  15.17|19.04| 22|999.999|999.999
2205|132.765346  12.064775|5475.328|7150.020|21.477|0.999|21.364|0.131|19.301|0.999|  29.51| 8.98| -13.27|17.67|  5|999.999|999.999
2206|132.637273  12.064620|7369.111|7150.874|21.415|0.241|20.697|0.051|19.468|0.109|   2.68|10.12|  -9.40|19.87| 31|999.999|999.999
2207|133.006511  12.065057|1908.946|7151.944|14.770|0.005|14.139|0.010|13.428|0.006|  -0.24| 2.32|   1.49| 1.43| 99|999.999|999.999
2208|133.060964  12.065174|1103.789|7153.863|20.603|0.175|19.311|0.078|18.044|0.003|  21.06|14.22|   0.24| 7.79|  0|999.999|999.999
2209|132.878468  12.065382|3802.427|7157.498|21.980|0.216|21.296|0.403|18.977|0.999|  17.79|16.42| -24.45|24.81|  7|999.999|999.999
2210|133.029293  12.065788|1572.074|7163.032|22.063|0.163|20.227|0.085|17.804|0.000|  37.96| 6.43|  -4.17| 8.57|  0|999.999|999.999
2211|133.049539  12.065863|1272.704|7164.224|21.796|0.204|20.905|0.085|20.442|0.107|   6.01|25.05|   0.71|27.19| 40|999.999|999.999
2212|132.735374  12.065621|5918.528|7163.430|19.291|0.023|18.192|0.019|16.970|0.012|  13.27| 3.75|  -1.96| 3.81|  0|999.999|999.999
2213|133.095651  12.065953| 590.946|7165.858|22.494|0.480|20.843|0.113|18.660|0.062|   5.65| 9.40|  35.05|14.70|  1|999.999|999.999
2214|132.761354  12.065968|5534.338|7168.134|17.120|0.006|16.443|0.003|15.679|0.009|  16.54| 2.08|  -1.84| 3.21|  0|999.999|999.999
2215|133.027313  12.066153|1601.345|7168.540|21.612|0.144|20.447|0.036|18.919|0.085|  -0.95| 9.16|  10.23| 8.87| 33|999.999|999.999
2216|132.615690  12.066186|7688.154|7175.215|13.816|0.003|13.093|0.010|12.346|0.012|  28.20| 2.02| -10.71| 3.15|  0|999.999|999.999
2217|132.812357  12.066599|4780.086|7176.755|19.084|0.019|17.435|0.004|15.544|0.013|  12.20| 0.48|   3.03| 0.89|  0|999.999|999.999
2218|132.858745  12.066691|4094.069|7177.511|22.268|0.377|21.391|0.055|20.003|0.999| -11.19|47.36|  19.40|17.08| 44|999.999|999.999
2219|132.769554  12.068813|5413.011|7210.983|22.381|0.538|22.076|0.339|99.999|0.999|  48.49|30.34|   2.20|17.79|  2|999.999|999.999
2220|132.810465  12.069081|4808.005|7214.303|15.753|0.009|14.994|0.008|14.181|0.012|   2.80| 0.71|  -0.89| 4.88| 94|999.999|999.999
2221|132.784437  12.069226|5192.906|7216.938|21.214|0.116|20.715|0.173|20.217|0.008| -12.85|13.63| -15.53| 6.66| 14|999.999|999.999
2222|132.560762  12.069779|8500.013|7231.416|99.999|0.999|20.382|0.062|18.651|0.158|  16.30|17.20| -25.94|19.64|  0|999.999|999.999
2223|132.871865  12.070602|3899.968|7236.480|17.977|0.019|17.196|0.006|16.326|0.013|   9.82| 2.14|   2.92| 2.08|  0|999.999|999.999
2224|132.866633  12.070701|3977.350|7238.032|22.103|0.096|21.130|0.228|20.452|0.999|  50.46|12.26|  25.82|20.71|  0|999.999|999.999
2225|132.878154  12.071135|3806.961|7244.470|15.358|0.011|14.651|0.008|13.887|0.008|  -3.45| 4.46|  -5.06| 2.98| 54|999.999|999.999
2226|132.867951  12.071100|3957.848|7244.053|21.130|0.028|19.334|0.053|17.239|0.084|  -0.24| 5.89|   5.77| 7.20| 41|999.999|999.999
2227|132.774717  12.071073|5336.597|7245.045|99.999|0.999|21.270|0.193|18.936|0.059|   4.17|19.93| -11.19|23.86| 39|999.999|999.999
2228|133.104102  12.071240| 465.984|7245.849|22.098|0.030|21.024|0.247|18.940|0.999| -26.78|36.00|  27.55|12.73|  2|999.999|999.999
2229|133.020821  12.071509|1697.277|7249.502|21.997|0.999|21.591|0.166|20.745|0.999|  34.93|36.47|  -1.07|44.74|  5|999.999|999.999
2230|133.011893  12.071711|1829.291|7252.545|99.999|0.999|21.026|0.033|18.454|0.999|  -6.60| 7.32|  10.65|16.24| 50|999.999|999.999
2231|133.080451  12.071865| 815.640|7255.119|99.999|0.999|21.554|0.304|20.311|0.999|   4.11|10.95| -11.78| 3.27| 40|999.999|999.999
2232|132.913869  12.071881|3278.795|7255.437|22.004|0.235|20.054|0.069|17.820|0.020|  14.04|10.23|   6.49|12.08|  3|999.999|999.999
2233|132.746220  12.071817|5757.982|7256.861|14.303|0.001|13.804|0.006|13.176|0.011|   6.54| 1.13|  -2.38| 1.01| 35|999.999|999.999
2234|132.817092  12.071977|4709.946|7257.982|19.838|0.031|18.096|0.004|15.913|0.017|  -2.98| 3.87| -11.48| 3.45|  0|999.999|999.999
2235|132.769589  12.072017|5412.408|7259.413|14.063|0.002|13.503|0.007|12.831|0.011|  -0.54| 1.67|  -0.42| 2.08|100|999.999|999.999
2236|132.866656  12.072231|3976.977|7261.170|12.725|0.004|12.145|0.005|11.474|0.011|  -8.45| 2.86|   1.67| 1.37|  5|999.999|999.999
2237|132.752262  12.072517|5668.620|7267.321|23.005|0.999|21.313|0.051|18.777|0.999|  -3.81|25.59| -43.73| 7.08|  2|999.999|999.999
2238|133.079105  12.073139| 835.530|7274.368|19.854|0.030|18.696|0.002|17.394|0.008|   3.63| 7.50|   6.84| 7.44| 20|999.999|999.999
2239|132.753963  12.073229|5643.452|7278.051|17.419|0.009|16.216|0.002|14.856|0.005|   4.17| 3.03| -32.67| 2.32|  0|999.999|999.999
2240|133.094110  12.073429| 613.690|7278.866|21.670|0.125|21.152|0.151|18.723|0.999|  -4.11| 4.76|  -3.27|21.54| 54|999.999|999.999
2241|133.102740  12.073542| 486.104|7280.634|21.401|0.127|19.563|0.062|17.614|0.061|   1.07|10.83|  -3.21| 1.07| 40|999.999|999.999
2242|132.917834  12.073574|3220.128|7280.997|16.180|0.005|15.362|0.001|14.490|0.006|   0.24| 2.08|   0.77| 6.19| 98|999.999|999.999
2243|132.885097  12.073526|3704.249|7280.552|18.156|0.008|17.156|0.009|16.065|0.008|   4.76| 2.68|   0.83| 1.78| 51|999.999|999.999
2244|133.008671  12.073848|1876.903|7284.852|22.212|0.090|20.710|0.159|19.822|0.189|   1.37|10.83|  14.16|12.91| 26|999.999|999.999
2245|132.767212  12.074441|5447.505|7296.101|22.416|0.470|21.051|0.073|19.946|0.089| -19.87|31.95| -21.42|21.84| 10|999.999|999.999
2246|133.061195  12.075073|1100.307|7303.513|14.971|0.006|14.400|0.014|13.743|0.011|  12.67| 4.05|   7.32| 5.30|  0|999.999|999.999
2247|132.925833  12.075910|3101.804|7316.258|21.280|0.130|19.646|0.082|17.486|0.004|   3.03| 4.88|   5.06|12.55| 31|999.999|999.999
2248|132.714498  12.076757|6226.920|7332.256|18.684|0.071|17.920|0.009|17.076|0.026|   9.34| 3.33|  -5.06| 3.09|  0|999.999|999.999
2249|132.868744  12.077398|3946.000|7339.250|21.661|0.149|20.809|0.033|20.033|0.075|  18.03|29.93| -16.72|11.19|  2|999.999|999.999
2250|132.742777  12.077754|5808.735|7346.677|20.321|0.151|19.532|0.042|18.626|0.014|  21.18| 2.98|  -5.83| 3.99|  0|999.999|999.999
2251|132.605386  12.077581|7840.104|7347.802|18.720|0.019|17.308|0.012|15.777|0.015|   1.61| 2.38|   1.78| 1.49| 85|999.999|999.999
2252|132.879099  12.078104|3792.857|7349.814|22.895|0.999|21.433|0.266|19.765|0.999|  15.11| 8.87| -19.93|31.12| 15|999.999|999.999
2253|132.920932  12.078739|3174.240|7359.066|16.598|0.005|16.070|0.007|15.410|0.007|  11.48| 1.19|   4.05| 2.74|  0|999.999|999.999
2254|132.633439  12.079471|7425.316|7375.483|21.371|0.220|21.505|0.123|20.741|0.999|  29.87|20.65|  22.37|18.33|  4|999.999|999.999
2255|133.080521  12.080414| 814.548|7384.360|99.999|0.999|21.668|0.475|19.671|0.999|  17.43|21.90|  -7.50| 6.60| 26|999.999|999.999
2256|132.634058  12.080844|7416.113|7396.220|22.512|0.515|20.389|0.086|17.890|0.010|  -4.82|18.56|  -8.27|17.61| 34|999.999|999.999
2257|132.794556  12.082111|5042.968|7411.537|22.171|0.228|21.055|0.134|19.582|0.999|  -3.93| 0.95|   1.25| 8.57| 55|999.999|999.999
2258|132.731655  12.082662|5973.067|7421.116|20.486|0.120|19.460|0.055|18.200|0.023|  19.81| 6.90| -10.23| 5.89|  0|999.999|999.999
2259|132.999724  12.083031|2009.095|7423.671|13.288|0.007|12.714|0.011|12.036|0.062|   0.65| 2.14|   3.87| 0.36| 99|999.999|999.999
2260|132.741456  12.083097|5828.139|7427.481|17.237|0.010|16.231|0.004|15.034|0.003|   9.70| 1.84|  -2.38| 2.86|  0|999.999|999.999
2261|132.637992  12.083107|7357.889|7430.302|21.232|0.061|20.822|0.069|20.007|0.051|  22.02|19.93|   6.66| 7.56|  4|999.999|999.999
2262|132.739725  12.083661|5853.719|7436.039|99.999|0.999|22.384|0.241|99.999|0.999|  38.62|22.37| -15.05|21.60|  6|999.999|999.999
2263|132.608059  12.083568|7800.382|7438.210|22.482|0.401|21.518|0.288|19.194|0.999| -17.37|32.31|  22.79|20.41| 42|999.999|999.999
2264|132.942146  12.084217|2860.461|7441.754|22.102|0.214|20.791|0.235|19.151|0.434| -15.89|37.25| -10.12|16.54| 29|999.999|999.999
2265|133.029013  12.084320|1576.034|7443.197|22.259|0.313|19.852|0.041|17.669|0.013|   7.79| 9.64|  -5.59|13.98| 11|999.999|999.999
2266|133.020145  12.085359|1707.138|7458.886|20.603|0.041|18.783|0.021|16.674|0.012|   4.64| 5.65|  -1.25|10.41| 40|999.999|999.999
2267|132.909295  12.085447|3346.208|7460.556|14.298|0.002|13.724|0.010|13.062|0.009|   0.00| 1.13|  -0.30| 2.80|100|999.999|999.999
2268|132.563571  12.085020|8457.941|7461.696|18.181|0.999|16.930|0.021|15.558|0.003| -20.11| 7.74|  10.89| 6.43|  0|999.999|999.999
2269|132.637095  12.085222|7371.088|7462.310|19.292|0.009|17.778|0.012|16.143|0.013|  -1.13| 3.63|  -1.55| 3.69| 81|999.999|999.999
2270|132.725633  12.085472|6062.039|7463.735|99.999|0.999|21.363|0.115|19.193|0.999|  24.57| 8.03| -10.47|18.74| 10|999.999|999.999
2271|132.636664  12.085796|7377.428|7471.000|18.241|0.009|16.888|0.008|15.392|0.003|   0.42| 2.38|   0.59| 1.55| 91|999.999|999.999
2272|132.575137  12.085962|8286.953|7475.523|22.355|0.198|20.487|0.123|17.792|0.092| -34.45|25.41|  -6.72|13.27|  0|999.999|999.999
2273|132.556722  12.086013|8559.137|7476.963|99.999|0.999|12.192|0.005|11.518|0.004|   3.75| 6.78| -11.42| 6.84|  0|999.999|999.999
2274|132.594103  12.086291|8006.589|7479.832|14.482|0.001|13.789|0.003|13.093|0.008|   1.78| 3.03|  -1.90| 2.74| 99|999.999|999.999
2275|132.538666  12.086188|8826.000|7480.288|99.999|0.999|20.890|0.111|99.999|0.999|  -3.81|11.25| -24.34| 7.97|  1|999.999|999.999
2276|132.893388  12.086911|3581.409|7482.810|17.032|0.005|16.307|0.009|15.433|0.000|   4.64| 4.17|   0.18| 4.52| 65|999.999|999.999
2277|133.061329  12.087052|1098.228|7484.608|21.992|0.182|20.351|0.094|18.050|0.034|   2.56|11.07| -19.40|26.83|  3|999.999|999.999
2278|133.051380  12.087162|1245.319|7486.220|22.341|0.606|22.266|0.064|99.999|0.999|   7.50| 4.88|  -2.26| 4.64| 32|999.999|999.999
2279|132.909116  12.087308|3348.829|7488.678|18.472|0.034|17.338|0.010|16.055|0.009|   4.64| 1.55|   9.40| 3.27|  0|999.999|999.999
2280|133.009611  12.087498|1862.870|7491.203|11.990|0.012|10.759|0.016| 9.581|0.058|  11.96| 5.18|  -2.56| 7.26|  1|999.999|999.999
2281|133.094804  12.087884| 603.345|7497.400|22.015|0.324|20.121|0.073|17.812|0.019|  11.48|20.77|  -2.86| 1.43|  9|999.999|999.999
2282|132.719112  12.088121|6158.383|7503.928|22.721|0.999|20.758|0.195|18.314|0.017| -19.52|21.78|  -2.62|16.24| 31|999.999|999.999
2283|132.770135  12.088293|5403.936|7505.445|23.446|0.999|20.888|0.160|18.725|0.116|  14.70|10.65| -10.71|19.34| 12|999.999|999.999
2284|132.879168  12.088487|3791.651|7506.776|20.629|0.067|19.299|0.021|17.791|0.013|   3.45| 8.21|   2.38| 4.64| 39|999.999|999.999
2285|133.094223  12.088586| 611.935|7508.002|22.345|0.159|20.127|0.069|17.790|0.009|   1.37|18.21|   0.18|20.65| 41|999.999|999.999
2286|132.932639  12.088574|3000.973|7507.657|19.554|0.011|18.546|0.055|17.390|0.001|   5.47| 1.19|  -1.37| 6.01| 32|999.999|999.999
2287|132.864074  12.088547|4014.848|7507.838|21.438|0.999|21.381|0.161|19.390|0.999|   0.54| 7.14|  22.97|39.27| 35|999.999|999.999
2288|132.857634  12.088504|4110.081|7507.264|22.318|0.510|21.368|0.254|19.778|0.999|  11.54|20.59|  -5.59|24.99| 33|999.999|999.999
2289|133.074913  12.088656| 897.392|7508.939|20.734|0.026|20.006|0.111|18.868|0.057|  -0.89|17.31| -20.53| 6.60|  0|999.999|999.999
2290|132.806332  12.089198|4868.684|7518.483|20.041|0.062|18.791|0.056|17.336|0.007|   9.88| 5.77|  -7.02| 4.64|  1|999.999|999.999
2291|133.030132  12.089367|1559.443|7519.494|22.073|0.265|20.285|0.125|18.223|0.067|   8.27|11.19|  -5.00|11.48| 18|999.999|999.999
2292|132.916437  12.090718|3240.519|7540.183|21.325|0.186|19.441|0.019|17.393|0.035|   1.84| 9.28|   1.31|10.17| 47|999.999|999.999
2293|132.872265  12.092150|3893.659|7562.216|19.152|0.037|17.705|0.014|16.110|0.004|   7.44| 2.86|   6.60| 3.27|  1|999.999|999.999
2294|132.724778  12.092371|6074.497|7568.033|21.686|0.999|21.719|0.134|20.689|0.999|  26.72|33.02|  -0.65|23.50| 15|999.999|999.999
2295|133.054552  12.092793|1198.382|7571.370|21.393|0.097|21.351|0.122|20.402|0.999|  -0.77|11.48|  22.43|10.53| 33|999.999|999.999
2296|132.800407  12.093176|4956.208|7578.704|22.082|0.999|21.347|0.281|20.396|0.225|  20.77|32.90|  -8.69|36.77| 14|999.999|999.999
2297|132.638984  12.093007|7342.908|7579.924|21.772|0.643|21.211|0.130|20.731|0.999|  -1.49| 6.72| -15.53|13.15| 33|999.999|999.999
2298|132.585485  12.092956|8133.746|7580.876|14.483|0.004|13.862|0.010|13.196|0.006|  -1.96| 2.86|  10.06| 2.38|  0|999.999|999.999
2299|133.029813  12.093582|1564.109|7583.217|20.794|0.191|20.269|0.113|19.568|0.024|  -1.19| 5.59|   1.25| 7.14| 45|999.999|999.999
2300|132.931522  12.093613|3017.422|7583.844|19.180|0.033|18.255|0.018|17.185|0.010|   5.89| 3.69| -10.06| 1.96|  0|999.999|999.999
2301|132.711930  12.093434|6264.430|7584.411|22.046|0.999|21.312|0.172|19.741|0.999|   1.67| 8.57|  -7.50|30.70| 46|999.999|999.999
2302|132.738347  12.093461|5873.837|7584.209|14.519|0.005|13.906|0.008|13.208|0.022|   0.95| 1.13|  -2.62| 1.19| 99|999.999|999.999
2303|133.034651  12.093741|1492.584|7585.625|22.253|0.999|21.119|0.360|19.593|0.999|  12.73|46.23|  24.04|14.16|  9|999.999|999.999
2304|133.076848  12.093794| 868.755|7586.626|21.844|0.257|20.321|0.077|18.543|0.069|  12.85|13.15|   0.06|17.08| 10|999.999|999.999
2305|132.577014  12.093273|8258.952|7585.959|21.047|0.249|20.619|0.277|19.829|0.286|  22.19|21.18| -23.98|10.71|  0|999.999|999.999
2306|132.615871  12.093510|7684.568|7588.244|20.422|0.130|18.688|0.017|16.968|0.017|   9.70| 4.46|  -1.31| 6.66|  3|999.999|999.999
2307|132.546245  12.093372|8713.715|7588.580|99.999|0.999|19.213|0.008|99.999|0.999|   9.76| 5.30| -13.39| 3.27|  0|999.999|999.999
2308|132.924983  12.094041|3114.091|7590.355|17.723|0.010|16.834|0.008|15.859|0.006|   7.62| 2.32|   1.67| 1.61|  4|999.999|999.999
2309|132.903275  12.094315|3435.087|7594.653|21.645|0.401|20.745|0.077|19.923|0.085|  -1.43| 4.22|  -7.08|28.38| 41|999.999|999.999
2310|133.063847  12.094647|1060.943|7599.441|21.875|0.305|21.043|0.182|20.549|0.999|  27.01|19.28|  -4.28|31.95|  2|999.999|999.999
2311|132.543207  12.094102|8758.593|7599.726|99.999|0.999|15.676|0.009|99.999|0.999|  -5.06| 6.01|  -2.62| 4.34| 53|999.999|999.999
2312|133.075767  12.095256| 884.729|7608.718|19.671|0.108|18.620|0.002|17.508|0.013|  11.30|10.95|  -3.03| 5.12|  1|999.999|999.999
2313|133.093596  12.095760| 621.157|7616.464|22.277|0.118|20.623|0.100|18.424|0.042|   2.86|14.52| -23.80|34.45|  3|999.999|999.999
2314|132.922320  12.095855|3153.442|7617.799|19.774|0.019|18.567|0.038|17.236|0.016|   3.63| 6.49|  -7.79| 5.12|  9|999.999|999.999
2315|133.000205  12.096303|2001.839|7624.314|21.772|0.100|20.513|0.170|18.181|0.009|  14.99|15.23|  -6.43| 5.12|  7|999.999|999.999
2316|132.888990  12.096655|3646.266|7630.158|22.624|0.149|20.798|0.123|18.560|0.999|   5.47| 4.17| -26.42|19.34|  3|999.999|999.999
2317|132.722304  12.096614|6110.961|7632.227|20.607|0.145|19.665|0.021|18.712|0.051|   8.33| 6.49|   6.07| 3.99|  9|999.999|999.999
2318|132.808679  12.096724|4833.801|7632.204|22.368|0.601|20.818|0.093|18.730|0.999|  11.25| 7.26|  -9.28|12.67| 19|999.999|999.999
2319|133.061079  12.096942|1101.850|7634.120|21.654|0.025|20.006|0.092|18.058|0.038|  19.34|10.17|  17.49|12.61|  0|999.999|999.999
2320|132.882415  12.097162|3743.488|7637.882|17.685|0.006|16.149|0.002|14.354|0.007|  -0.89| 3.27|   0.06| 4.76| 96|999.999|999.999
2321|132.641224  12.097145|7309.663|7642.405|15.591|0.004|14.298|0.005|12.939|0.016| -29.63| 1.31|  -5.00| 3.75|  0|999.999|999.999
2322|132.915654  12.097743|3251.990|7646.377|16.571|0.009|15.672|0.003|14.678|0.000|  -0.30| 3.45|  -2.98| 3.75| 93|999.999|999.999
2323|132.579268  12.097340|8225.492|7647.355|17.359|0.014|16.244|0.005|15.077|0.009|  -7.79| 4.46|   8.27| 6.13|  0|999.999|999.999
2324|133.033940  12.098098|1503.055|7651.490|22.741|0.999|20.866|0.090|18.553|0.999|   0.48|37.66|   1.90|15.89| 49|999.999|999.999
2325|132.761110  12.098273|5537.146|7656.483|22.018|0.360|21.355|0.238|18.889|0.999|  11.96| 3.57| -30.23|28.98|  7|999.999|999.999
2326|132.571436  12.098112|8341.227|7659.302|21.472|0.999|20.645|0.292|19.532|0.108| -10.00| 8.81|  21.96| 9.70|  7|999.999|999.999
2327|132.851179  12.099030|4205.321|7666.458|16.615|0.003|15.693|0.010|14.671|0.004|  -3.57| 6.90|   3.33|16.48| 74|999.999|999.999
2328|132.638838  12.100655|7344.822|7695.537|22.692|0.644|20.857|0.222|18.284|0.999|  15.71|20.77|  -8.63|16.78| 12|999.999|999.999
2329|133.020673  12.101064|1699.170|7696.305|19.584|0.081|19.059|0.008|18.408|0.003|  14.64| 3.51|  -5.41| 2.92|  0|999.999|999.999
2330|132.714642  12.101053|6224.117|7699.516|17.524|0.016|16.424|0.006|15.161|0.003|   1.78| 1.43|   1.31| 1.31| 92|999.999|999.999
2331|132.735601  12.101176|5914.233|7700.899|22.299|0.423|20.152|0.031|17.768|0.021| -11.07|12.85|  -8.69|11.13| 19|999.999|999.999
2332|132.544280  12.101393|8742.455|7709.893|99.999|0.999|19.998|0.044|99.999|0.999|  11.48|11.48| -19.75| 8.03|  0|999.999|999.999
2333|132.657884  12.102434|7063.205|7721.867|20.634|0.042|18.701|0.006|16.258|0.022|   0.89| 4.46|  -7.26| 3.09| 24|999.999|999.999
2334|132.612734  12.102678|7730.640|7726.919|20.821|0.097|19.083|0.013|17.356|0.004|   6.49| 5.06|  11.19| 4.76|  1|999.999|999.999
2335|133.090449  12.103091| 667.631|7727.261|21.904|0.137|22.181|0.321|99.999|0.999|  -3.39|38.02|  -3.63| 4.70| 43|999.999|999.999
2336|133.093712  12.103940| 619.395|7740.129|16.397|0.004|15.510|0.007|14.579|0.010|  -1.49|11.19|  -3.87|11.66| 84|999.999|999.999
2337|132.874405  12.103957|3861.796|7740.671|19.619|0.050|19.001|0.049|18.399|0.025|   8.09| 8.09|   3.39| 6.49| 10|999.999|999.999
2338|133.089539  12.104137| 681.079|7743.072|16.535|0.006|16.000|0.011|15.351|0.011|   7.56|11.07|   0.00|10.17|  3|999.999|999.999
2339|132.893842  12.104180|3574.399|7743.862|20.821|0.123|18.973|0.026|17.048|0.014|   0.00| 6.01|  -4.05| 5.53| 48|999.999|999.999
2340|132.734059  12.104234|5936.952|7747.159|20.688|0.119|18.835|0.022|16.470|0.015|  -7.62| 3.87|  -1.84| 5.24| 38|999.999|999.999
2341|132.710004  12.104234|6292.611|7747.715|21.481|0.999|20.996|0.166|19.911|0.999|  23.62|29.87|  27.31|29.63|  0|999.999|999.999
2342|132.783331  12.104384|5208.429|7748.424|22.179|0.424|20.433|0.125|19.113|0.160|  30.23|12.67|  -9.58|11.66|  0|999.999|999.999
2343|132.596029  12.104117|7977.517|7749.232|14.162|0.003|13.392|0.008|12.628|0.014|  10.77| 4.22|  -8.09| 3.75|  0|999.999|999.999
2344|132.788913  12.104708|5125.894|7753.233|20.580|0.066|18.774|0.041|16.585|0.019|   6.25| 2.50|  -5.00| 6.13| 12|999.999|999.999
2345|132.647771  12.104539|7212.636|7753.981|21.991|0.119|20.603|0.183|18.478|0.024| -13.86|16.01|  -1.25|22.02| 38|999.999|999.999
2346|132.608256  12.104497|7796.761|7754.562|21.766|0.158|20.847|0.220|18.390|0.086|   2.44| 5.30|   3.93|26.12| 46|999.999|999.999
2347|132.763440  12.104850|5502.528|7755.855|19.851|0.017|18.304|0.027|16.475|0.016|  18.33| 5.53|  -8.98| 2.50|  0|999.999|999.999
2348|132.929017  12.105389|3054.282|7761.877|21.938|0.009|20.934|0.111|18.432|0.999|  15.05|11.96| -12.61|11.13| 12|999.999|999.999
2349|132.634568  12.105028|7407.800|7761.765|21.489|0.204|19.831|0.066|17.898|0.071|  -3.21|13.74|  14.40| 6.54|  7|999.999|999.999
2350|132.928150  12.105481|3067.093|7763.271|22.557|0.154|21.007|0.298|18.625|0.999|  21.30| 2.92|   1.78| 2.68| 10|999.999|999.999
2351|132.741403  12.105541|5828.337|7766.745|19.155|0.023|17.702|0.011|16.104|0.007|  -0.71| 0.65|   0.54| 2.50| 85|999.999|999.999
2352|132.715802  12.105681|6206.850|7769.446|21.407|0.164|19.845|0.077|17.437|0.045|   5.65| 4.76|   2.56| 3.45| 23|999.999|999.999
2353|132.729806  12.106587|5999.776|7782.808|21.972|0.201|19.705|0.017|17.139|0.039|  35.34| 3.27|  -2.38| 2.92|  0|999.999|999.999
2354|132.602859  12.106421|7876.482|7783.824|21.957|0.306|20.563|0.079|18.587|0.154|  10.00|17.67|  -1.73| 5.41| 22|999.999|999.999
2355|132.543521  12.106295|8753.496|7784.031|99.999|0.999|21.584|0.081|99.999|0.999| -20.71|17.55|  -2.92| 9.76| 45|999.999|999.999
2356|132.817815  12.106845|4698.502|7785.052|19.883|0.033|18.266|0.026|16.409|0.002|   8.81| 6.66|  -0.24| 3.33|  4|999.999|999.999
2357|132.669200  12.106880|6895.781|7788.757|21.819|0.311|19.953|0.121|18.677|0.188|  24.04|13.86| -15.95|26.18|  0|999.999|999.999
2358|132.605001  12.106781|7844.806|7789.196|21.995|0.999|21.383|0.100|20.227|0.999|   5.83| 3.63|  15.47|21.90| 38|999.999|999.999
2359|132.938412  12.107493|2915.333|7793.625|19.757|0.007|18.044|0.011|16.028|0.002|  -4.76| 7.62|   4.34| 6.01| 44|999.999|999.999
